,SPY,JPM
2011-02-23,40.9369541607,59.221788987
2011-02-24,38.1231074841,59.413407874
2011-02-25,47.4994572728,59.9770769155
2011-02-28,47.6353812616,58.18378838
2011-03-01,37.5718469735,48.6038293646
2011-03-02,35.9627102629,38.5177232057
2011-03-03,37.5346943618,33.8046994523
2011-03-04,29.0341953726,33.4002771217
2011-03-07,21.6817996305,24.9937195471
2011-03-08,30.7384332305,37.2191352997
2011-03-09,39.5438975389,47.6033265723
2011-03-10,38.776584413,47.3010836724
2011-03-11,41.1247264019,38.7528404866
2011-03-14,33.027001228,29.523036973
2011-03-15,31.7245275797,29.4406352223
2011-03-16,28.6068619084,28.2205396649
2011-03-17,30.4632678275,33.2612007668
2011-03-18,39.8347010675,50.0053228559
2011-03-21,46.9254358053,57.8173314701
2011-03-22,40.7085605125,50.5626785097
2011-03-23,34.5439851319,43.1344603079
2011-03-24,43.4762817027,51.0704604764
2011-03-25,41.7574443705,57.1278401411
2011-03-28,44.1627623811,63.7288372018
2011-03-29,56.1049091452,67.0746150378
2011-03-30,75.8432441296,78.9421721203
2011-03-31,64.9151790377,69.0046577922
2011-04-01,63.2048139414,62.1301907061
2011-04-04,61.8554914346,52.5664293636
2011-04-05,71.1612845732,61.9024045097
2011-04-06,81.6601530184,74.5978881546
2011-04-07,68.9656923131,75.6166543856
2011-04-08,57.626315931,65.742007308
2011-04-11,57.0752751091,56.0357106147
2011-04-12,46.3778018189,53.8769891302
2011-04-13,47.3302265866,38.8206572223
2011-04-14,46.43368817,36.1328521295
2011-04-15,46.9769812017,27.168779612
2011-04-18,37.1626161602,24.5681458098
2011-04-19,37.2094257864,25.5143930931
2011-04-20,38.6181105911,25.9978787276
2011-04-21,48.3594272261,24.4267496808
2011-04-25,51.0805612409,29.9999895039
2011-04-26,60.1390769753,37.6565940491
2011-04-27,70.6035247137,44.7522546888
2011-04-28,69.9342308951,57.1023034213
2011-04-29,80.4388727403,61.5945618051
2011-05-02,79.8754318891,63.0444126098
2011-05-03,83.9566730302,80.0744927694
2011-05-04,71.0168059525,70.4823144494
2011-05-05,56.4717596861,58.337033441
2011-05-06,59.0225986826,47.7455875535
2011-05-09,64.5382324466,39.7316142126
2011-05-10,63.8156773604,38.402446627
2011-05-11,52.5940592314,28.4513475009
2011-05-12,43.2815373494,19.7061668197
2011-05-13,35.1582584056,19.1163528228
2011-05-16,27.196840172,18.609890161
2011-05-17,26.3915015788,19.9584640845
2011-05-18,35.238270783,28.4049799468
2011-05-19,45.2967390934,36.1655088243
2011-05-20,31.8594479525,35.8398747065
2011-05-23,23.5470143939,34.802387715
2011-05-24,24.9235301891,26.0148432027
2011-05-25,35.2010308259,35.0699053963
2011-05-26,45.9278406417,43.2742754256
2011-05-27,55.0156633072,53.061591999
2011-05-31,64.9046496508,64.3830757826
2011-06-01,63.2582512614,51.224474995
2011-06-02,52.634374275,39.7550329065
2011-06-03,42.4986281065,41.8241210547
2011-06-06,42.709338669,40.7290832928
2011-06-07,42.9649182249,51.0044103088
2011-06-08,33.6876959333,51.3250298714
2011-06-09,33.918816901,51.6989009272
2011-06-10,23.8915707789,41.973258003
2011-06-13,16.6705416949,42.9378649893
2011-06-14,16.2146552813,43.3202302278
2011-06-15,15.7564599632,43.6199707422
2011-06-16,15.0278452316,43.2930502875
2011-06-17,25.8610628969,43.2229992321
2011-06-20,33.6020949739,45.5586882769
2011-06-21,42.1251105303,45.2293816203
2011-06-22,50.8748591075,54.6179783211
2011-06-23,40.0732235241,43.7268201491
2011-06-24,40.3050392904,45.411865111
2011-06-27,48.450984892,45.0387673339
2011-06-28,48.5677290935,34.8122939628
2011-06-29,60.9373665815,46.3792107038
2011-06-30,73.8589572278,57.5679426741
2011-07-01,73.5977314331,57.6476125533
2011-07-05,73.7794445858,57.1973945492
2011-07-06,66.0313104817,48.7168426205
2011-07-07,66.0652335452,48.9708201273
2011-07-08,70.4424722063,53.2089411085
2011-07-11,71.2574669563,52.8390273121
2011-07-12,60.8918416256,42.7887700795
2011-07-13,61.7331055348,54.65570272
2011-07-14,49.8867129767,57.5628932446
2011-07-15,38.5521253342,46.4627007649
2011-07-18,28.2116136839,35.5831494988
2011-07-19,28.166927756,43.9179100627
2011-07-20,35.4144035328,51.3732906783
2011-07-21,37.8039702266,53.5904859149
2011-07-22,45.784123323,58.8363612707
2011-07-25,47.1923525357,61.0502166426
2011-07-26,49.3389491739,62.3712238613
2011-07-27,37.0726741995,53.5381419296
2011-07-28,37.4668755784,40.5326394796
2011-07-29,35.8588037279,41.5866303227
2011-08-01,33.6646621731,54.2415155578
2011-08-02,23.5073264984,42.1444188225
2011-08-03,15.6809569815,31.3202909798
2011-08-04,4.86498197229,16.3458877917
2011-08-05,0.0,8.64591733933
2011-08-08,0.0,7.33801688948
2011-08-09,15.3878968587,20.3129839292
2011-08-10,14.2584283745,18.8556652878
2011-08-11,22.8758212326,28.2066224085
2011-08-12,29.0892519094,34.8423599877
2011-08-15,34.845679893,34.5683921572
2011-08-16,35.362267789,34.8008746347
2011-08-17,41.4957545228,40.3907446085
2011-08-18,41.7827950543,40.9259145848
2011-08-19,44.1068523974,43.5750203288
2011-08-22,48.5941259448,48.2021407582
2011-08-23,43.4113006811,35.3506777158
2011-08-24,55.8287276285,47.0835228465
2011-08-25,43.6993073755,45.5028199825
2011-08-26,33.8414625519,36.5404814691
2011-08-29,32.3760965736,35.5798815828
2011-08-30,41.0146973716,36.6279822102
2011-08-31,42.3537891765,36.7248368975
2011-09-01,45.8936393758,38.3227063846
2011-09-02,48.5083326278,39.3512168184
2011-09-06,48.2220326064,38.9079087956
2011-09-07,46.0512506297,49.6484578098
2011-09-08,36.6158399736,38.8953325076
2011-09-09,35.7243005997,24.1639243931
2011-09-12,35.8708840055,23.4183468812
2011-09-13,37.6366821788,26.4327605806
2011-09-14,39.2627453971,25.7912843592
2011-09-15,39.7171784567,26.1419235439
2011-09-16,49.398170641,25.4714362793
2011-09-19,49.5876133841,26.0761908118
2011-09-20,58.4912144074,27.4613682337
2011-09-21,49.1827746664,18.422541883
2011-09-22,45.4950320202,17.3091771862
2011-09-23,56.2268011833,27.6777293812
2011-09-26,65.419798973,38.9727474989
2011-09-27,65.8803133803,39.8204278361
2011-09-28,56.1743747468,40.4485796882
2011-09-29,45.8342393967,41.8898494108
2011-09-30,36.273902647,43.1628862801
2011-10-03,35.1160479464,42.0473902318
2011-10-04,26.1165431848,51.7346051259
2011-10-05,34.8600576851,61.6242308781
2011-10-06,45.9914950887,75.2734645732
2011-10-07,46.2151433271,65.7189068539
2011-10-10,45.8223815986,64.3333037595
2011-10-11,43.9588167592,62.8156039331
2011-10-12,53.7778187749,72.0930620754
2011-10-13,55.2316706627,58.4023707639
2011-10-14,64.296662854,66.987451319
2011-10-17,67.63160024,67.8377538744
2011-10-18,83.3169069118,67.8985556044
